Loan Type,Bank,Interest Rate,Link
Home Loan,Federal Bank,8.75% p.a. onwards,https://www.bankbazaar.com/home-loan-interest-rate.html
Home Loan,Standard Chartered Bank,7.99% p.a.onwards,https://www.bankbazaar.com/home-loan-interest-rate.html
Home Loan,Karnataka Bank,8.19% p.a. onwards,https://www.bankbazaar.com/home-loan-interest-rate.html
Home Loan,Sundaram Home Finance,6.50% to 15% p.a.Contact the Bank for more details,https://www.bankbazaar.com/home-loan-interest-rate.html
Home Loan,Dhanlaxmi Bank,8.60% p.a. onwards,https://www.bankbazaar.com/home-loan-interest-rate.html
Home Loan,Tata Capital,7.75% onwards,https://www.bankbazaar.com/home-loan-interest-rate.html
Home Loan,Tamilnad Mercantile Bank,8.50% p.a. onwards,https://www.bankbazaar.com/home-loan-interest-rate.html
Home Loan,Bandhan Bank,8.41% p.a. onwards,https://www.bankbazaar.com/home-loan-interest-rate.html
Home Loan,Yes Bank,9.00% p.a. to 11.50% p.a.,https://www.bankbazaar.com/home-loan-interest-rate.html
Home Loan,Hudco Home Loan,9.20% p.a. to 9.70% p.a.,https://www.bankbazaar.com/home-loan-interest-rate.html
Home Loan,Aditya Birla,8.25% to 17.25% p.a.,https://www.bankbazaar.com/home-loan-interest-rate.html
Home Loan,GIC Housing Finance,8.80% p.a. onwards,https://www.bankbazaar.com/home-loan-interest-rate.html
Home Loan,Truhome Finance,8.50% p.a. onwards,https://www.bankbazaar.com/home-loan-interest-rate.html
Home Loan,India Shelter Finance,Contact Indian Shelter Finance,https://www.bankbazaar.com/home-loan-interest-rate.html
Car Loan,State Bank of India,8.90% p.a. onwards,https://www.bankbazaar.com/car-loan-interest-rate.html
Car Loan,Indian Overseas Bank,7.80% p.a. onwards,https://www.bankbazaar.com/car-loan-interest-rate.html
Car Loan,Jammu Kashmir Bank,RLLR + 0.75% p.a. onwards (floating)RLLR + 0.25% p.a. onwards (fixed),https://www.bankbazaar.com/car-loan-interest-rate.html
Car Loan,Canara Bank,8.05% p.a. onwards,https://www.bankbazaar.com/car-loan-interest-rate.html
Car Loan,HDFC Bank,9.40% p.a.onwards (Rack Interest),https://www.bankbazaar.com/car-loan-interest-rate.html
Car Loan,ICICI Bank,9.15% p.a. onwards,https://www.bankbazaar.com/car-loan-interest-rate.html
Car Loan,Karur Vysya Bank,8.55% p.a. onwards,https://www.bankbazaar.com/car-loan-interest-rate.html
Car Loan,South Indian Bank,8.75% p.a. onwards,https://www.bankbazaar.com/car-loan-interest-rate.html
Car Loan,IDBI Bank,8.30% p.a. onwards (floating)8.90% p.a. onwards (fixed),https://www.bankbazaar.com/car-loan-interest-rate.html
Car Loan,Yes Bank,Contact the bank,https://www.bankbazaar.com/car-loan-interest-rate.html
Car Loan,Karnataka Bank,9.05% p.a. onwards,https://www.bankbazaar.com/car-loan-interest-rate.html
Car Loan,Federal Bank of India,10.50% p.a. onwards,https://www.bankbazaar.com/car-loan-interest-rate.html
Car Loan,Punjab National Bank,Floating: 7.85% p.a. onwardsFixed: 8.85% p.a. onwards,https://www.bankbazaar.com/car-loan-interest-rate.html
Car Loan,Union Bank of India,7.80% p.a. onwards,https://www.bankbazaar.com/car-loan-interest-rate.html
Car Loan,Axis Bank,8.80% p.a. onwards,https://www.bankbazaar.com/car-loan-interest-rate.html
Car Loan,Bank of Baroda,Fixed: 8.65% p.a. onwardsFloating: 8.15% p.a. onwards,https://www.bankbazaar.com/car-loan-interest-rate.html
Car Loan,Bank of India,7.85% p.a. onwards,https://www.bankbazaar.com/car-loan-interest-rate.html
Personal Loan,State Bank of India,10.05% to 15.05% p.a.,https://www.bankbazaar.com/personal-loan-interest-rate.html
Personal Loan,HDFC Bank,10.90% to 24.00% p.a.,https://www.bankbazaar.com/personal-loan-interest-rate.html
Personal Loan,ICICI Bank,10.60% to 16.50% p.a.,https://www.bankbazaar.com/personal-loan-interest-rate.html
Personal Loan,Axis Bank,9.99% to 21.55% p.a.,https://www.bankbazaar.com/personal-loan-interest-rate.html
Personal Loan,Kotak Mahindra Bank,10.99% and above,https://www.bankbazaar.com/personal-loan-interest-rate.html
Personal Loan,IDFC First Bank,9.99% onwards,https://www.bankbazaar.com/personal-loan-interest-rate.html
Personal Loan,IndusInd Bank,10.49% onwards,https://www.bankbazaar.com/personal-loan-interest-rate.html
Personal Loan,Yes Bank,10.85% to 21% p.a.,https://www.bankbazaar.com/personal-loan-interest-rate.html
Personal Loan,Bank of Baroda,10.40% to 18.10% p.a.,https://www.bankbazaar.com/personal-loan-interest-rate.html
Personal Loan,Bank of India,11.10% onwards,https://www.bankbazaar.com/personal-loan-interest-rate.html
Personal Loan,Punjab National Bank,10.50% p.a.,https://www.bankbazaar.com/personal-loan-interest-rate.html
Personal Loan,IDBI Bank,11% to 15.50% p.a.,https://www.bankbazaar.com/personal-loan-interest-rate.html
Personal Loan,Bank of Maharashtra,9.00% p.a.,https://www.bankbazaar.com/personal-loan-interest-rate.html
